vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,Trace Mean Length (Mauldon)
466010.02151642326,6691598.118339248,466014.02151642326,6691598.118339248,466014.02151642326,6691594.118339248,466010.02151642326,6691594.118339248,112.91574565917047,1.6162493453381206,0.5269415673842092,0.7388818160356095,0.01904848304168713,4.223632812611404,1.8136986301369864,3.495798319327731,0.9210407228228193,0.8823854114922791,2.118886021017644,,1.1942172514497955,,1.1942172514497955,182.5,199,59.5,76,1.7742885714012993,0.03011482119561621,10.788812731463572,
466010.02151642326,6691594.118339248,466014.02151642326,6691594.118339248,466014.02151642326,6691590.118339248,466010.02151642326,6691590.118339248,112.91574565917047,1.8686499280347586,0.5933627733570086,0.7673181360590764,0.016897140829226196,3.3852012614026177,1.8293838862559242,3.611940298507463,1.071595456361165,1.100218326513991,2.5794007432716906,,1.4338489797265583,,1.4338489797265583,211.0,234,67.0,90,1.7989347412051682,0.036015620432690694,12.166254053509483,
466010.02151642326,6691590.118339248,466014.02151642326,6691590.118339248,466014.02151642326,6691586.118339248,466010.02151642326,6691586.118339248,112.91574565917047,2.1963278775005692,0.7262051853026076,0.6762290815775543,0.0207114141627549,3.721955759944876,1.8306451612903225,3.5121951219512195,1.27528715467775,1.0043494863291715,2.5678213671096346,,1.4852207834453894,,1.4852207834453894,248.0,263,82.0,97,1.7289155900127164,0.04765099213637946,11.867214228960702,
466010.02151642326,6691586.118339248,466014.02151642326,6691586.118339248,466014.02151642326,6691582.118339248,466010.02151642326,6691582.118339248,112.91574565917047,2.2538929226769957,0.7217771049044209,0.643641521121339,0.02569865966043429,3.6651249924249996,1.7956777996070727,3.4846625766871164,1.2575748330850034,0.9337301555869084,2.3763432459686817,,1.4506990691964419,,1.4506990691964419,254.5,273,81.5,100,1.6380676712538076,0.07222698845032878,11.471516713793154,
466010.02151642326,6691582.118339248,466014.02151642326,6691582.118339248,466014.02151642326,6691578.118339248,466010.02151642326,6691578.118339248,112.91574565917047,1.7978006416637724,0.5933627733570086,0.6642509310386707,0.012309957240835856,2.9102040781277347,1.7536945812807883,3.283582089552239,0.9741776876010589,0.7932423175565417,1.940098680288891,,1.1941907500470805,,1.1941907500470805,203.0,219,67.0,83,1.624613722901809,0.012309957240835856,9.159210542446337,
466010.02151642326,6691578.118339248,466014.02151642326,6691578.118339248,466014.02151642326,6691574.118339248,466010.02151642326,6691574.118339248,112.91574565917047,1.2354344310940701,0.3763868338458637,0.7156290970890226,0.0008876181970180318,2.9102040781277347,1.7706093189964158,3.5294117647058822,0.6642120597279948,0.6326968637076047,1.5484423243370324,,0.8841128264365398,,0.8841128264365398,139.5,154,42.5,57,1.7514080534020815,0.16245080767432413,7.022587328500635,
466010.02151642326,6691574.118339248,466014.02151642326,6691574.118339248,466014.02151642326,6691570.118339248,466010.02151642326,6691570.118339248,112.91574565917047,0.7040647833116744,0.21697593951114497,0.7772593996518139,0.029552106638818285,2.3247455448874343,1.7735849056603774,3.510204081632653,0.38081491424405034,0.4253481884233004,0.9139238102608752,,0.5472409707928165,,0.5472409707928165,79.5,92,24.5,37,1.6700573587113299,0.029552106638818285,4.612062118220848,
466010.02151642326,6691570.118339248,466014.02151642326,6691570.118339248,466014.02151642326,6691566.118339248,466010.02151642326,6691566.118339248,112.91574565917047,0.23026018070570484,0.07084928637098611,0.6931920183101775,0.03719328210198359,1.4308586804093135,1.8461538461538463,3.75,0.13284241194559895,0.1106435108543936,0.16921948718907256,,0.15961451939985374,,0.15961451939985374,26.0,35,8.0,17,1.0601760280038008,0.03719328210198359,4.668608052887041,
466010.02151642326,6691566.118339248,466014.02151642326,6691566.118339248,466014.02151642326,6691562.118339248,466010.02151642326,6691562.118339248,112.91574565917047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,
466014.02151642326,6691606.118339248,466018.02151642326,6691606.118339248,466018.02151642326,6691602.118339248,466014.02151642326,6691602.118339248,112.91574565917047,0.0974177687601059,0.02656848238911979,1.3959592412858293,0.06607678616380776,2.5255132090958057,1.8181818181818181,4.0,0.05313696477823958,0.18983822062643824,0.2610275533613526,,0.13599123456611578,,0.13599123456611578,11.0,16,3.0,8,1.9194439567680153,0.06607678616380776,6.174660520274117,
